06:25,07:00,07:55,12:25,01:00,02:29,03:00,04:53,04:53,06:22,07:30
06:25,07:00,07:53,12:26,01:00,02:31,03:00,04:55,04:55,06:24,07:30
06:21,06:45,07:51,12:26,01:00,02:33,03:15,04:57,04:57,06:26,07:30
06:19,06:45,07:49,12:26,01:00,02:34,03:15,04:59,04:59,06:28,07:30
06:18,06:45,07:48,12:26,01:00,02:36,03:15,05:01,05:01,06:30,07:30
06:16,06:45,07:46,12:26,01:00,02:37,03:15,05:03,05:03,06:32,07:30
06:14,06:45,07:44,12:26,01:00,02:39,03:15,05:05,05:05,06:34,07:30
06:12,06:45,07:42,12:26,01:00,02:40,03:15,05:07,05:07,06:36,07:30
06:10,06:45,07:40,12:26,01:00,02:42,03:15,05:09,05:09,06:38,07:30
06:08,06:30,07:38,12:26,01:00,02:43,03:30,05:11,05:11,06:40,07:30
06:06,06:30,07:36,12:26,01:00,02:45,03:30,05:13,05:13,06:42,07:30
06:04,06:30,07:34,12:26,01:00,02:46,03:30,05:15,05:15,06:44,07:30
06:02,06:30,07:32,12:26,01:00,02:48,03:30,05:17,05:17,06:46,07:30
06:00,06:30,07:30,12:26,01:00,02:50,03:30,05:19,05:19,06:48,07:30
05:58,06:30,07:28,12:26,01:00,02:51,03:30,05:21,05:21,06:50,07:30
05:56,06:30,07:26,12:26,01:00,02:52,03:30,05:23,05:23,06:52,07:30
05:54,06:15,07:24,12:26,01:00,02:54,03:30,05:25,05:25,06:54,07:30
05:52,06:15,07:22,12:26,01:00,02:55,03:30,05:27,05:27,06:56,07:30
05:50,06:15,07:20,12:26,01:00,02:57,03:30,05:29,05:29,06:58,07:30
05:48,06:15,07:18,12:26,01:00,02:58,03:30,05:31,05:31,07:00,07:30
05:45,06:15,07:15,12:26,01:00,03:00,03:30,05:33,05:33,07:02,07:30
05:43,06:15,07:13,12:25,01:00,03:01,03:30,05:35,05:35,07:04,07:30
05:41,06:15,07:11,12:25,01:00,03:03,03:30,05:36,05:36,07:05,07:30
05:39,06:00,07:09,12:25,01:00,03:04,03:45,05:38,05:38,07:07,07:30
05:37,06:00,07:07,12:25,01:00,03:06,03:45,05:40,05:40,07:09,07:30
05:34,06:00,07:04,12:25,01:00,03:07,03:45,05:42,05:42,07:11,07:30
05:32,06:00,07:02,12:25,01:00,03:08,03:45,05:44,05:44,07:13,07:30
05:30,06:00,07:00,12:25,01:00,03:10,03:45,05:46,05:46,07:15,07:30
